text,threat_level,bns_section
mera bhai gala daba dunga teri family ko kal tak,High,BNS Section 351 (Criminal Intimidation)
this designed the song smoothly,Low,None
tera baap hai ek nalla harami,Medium,BNS Section 352 (Intentional Insult)
teri behan looks like a fraud sabse bada,Medium,BNS Section 352 (Intentional Insult)
hum log jaan se maar dunga teri family ko kal tak,High,BNS Section 351 (Criminal Intimidation)
this guy hamesha rehta hai gawar maha,Medium,BNS Section 352 (Intentional Insult)
you hamesha behaves like nalla disgusting,Medium,BNS Section 352 (Intentional Insult)
tu looks like a scammer bilkul,Medium,BNS Section 352 (Intentional Insult)
the manager coded the boss fight tomorrow,Low,None
iski sakal hamesha rehta hai scammer sabse bada,Medium,BNS Section 352 (Intentional Insult)
i built the code quickly,Low,None
teri behan lagta hai kutta kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
my brother designed the homework very well,Low,None
i liked the movie beautifully,Low,None
he samajhta hai khud ko loser sabse bada,Medium,BNS Section 352 (Intentional Insult)
mera bhai zinda gaad dunga you beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
mere dost will office me bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
our squad killed the game perfectly,Low,None
hum kidnap kar lunga tere ghar aake dekh liyo,High,BNS Section 351 (Criminal Intimidation)
the boss created the presentation quickly,Low,None
i wrote the email beautifully,Low,None
my friend finished the presentation like a boss,Low,None
mera bhai goli maar dunga college ke bahar chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
the manager fixed the bugs like a boss,Low,None
teri maa samajhta hai khud ko scammer hamesha,Medium,BNS Section 352 (Intentional Insult)
she destroyed the homework slowly,Low,None
bahar nikal will tere ghar aake last warning,High,BNS Section 351 (Criminal Intimidation)
we are going to zinda gaad dunga tujhe kasam se,High,BNS Section 351 (Criminal Intimidation)
isko dekho hamesha rehta hai nalayak totally,Medium,BNS Section 352 (Intentional Insult)
our squad smashed the project very well,Low,None
we enjoyed the game slowly,Low,None
teri is a fattu hamesha,Medium,BNS Section 352 (Intentional Insult)
the group liked the level today,Low,None
he smashed the email last week,Low,None
yeh ladka lag raha hai kamina faltu,Medium,BNS Section 352 (Intentional Insult)
woh ban raha hai kamina ekdum,Medium,BNS Section 352 (Intentional Insult)
tera baap hamesha rehta hai dhokebaaz kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
hum gala daba dunga akela mil last warning,High,BNS Section 351 (Criminal Intimidation)
tujhe main gala daba dunga office me zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
teri lag raha hai kamina kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
mera bhai jinda nahi chodunga raste pe samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
main hath pair tod dunga raat ko beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
tujhe toh maar maar ke suja dunga akela mil warna tera,High,BNS Section 351 (Criminal Intimidation)
dikh mat jana mujhe dobara faltu,Medium,BNS Section 352 (Intentional Insult)
someone resolved the code like a boss,Low,None
i will kill you,High,BNS Section 351 (Criminal Intimidation)
i destroyed the bugs like a boss,Low,None
iska bhai lag raha hai chutiya harami,Medium,BNS Section 352 (Intentional Insult)
isko dekho acts like a bhikhari totally,Medium,BNS Section 352 (Intentional Insult)
apna time ayega toh hath pair tod dunga teri family ko kal tak,High,BNS Section 351 (Criminal Intimidation)
the group coded the task so hard,Low,None
she is such a nalayak ekdum,Medium,BNS Section 352 (Intentional Insult)
our squad wrote the game beautifully,Low,None
our squad heard the project slowly,Low,None
the manager created the project last week,Low,None
woh dikh raha hai scammer kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
nobody watched the homework last week,Low,None
they heard the assignment slowly,Low,None
my friend wrote the task perfectly,Low,None
the group loved the code completely,Low,None
you lagta hai loser sabse bada,Medium,BNS Section 352 (Intentional Insult)
teri behan hamesha behaves like ugly bilkul,Medium,BNS Section 352 (Intentional Insult)
she smashed the level like a boss,Low,None
mera bhai murder kar dunga bahar mil last warning,High,BNS Section 351 (Criminal Intimidation)
the boss liked the homework perfectly,Low,None
he created the game beautifully,Low,None
that built the song so hard,Low,None
everyone fixed the project completely,Low,None
hum maar maar ke suja dunga college ke bahar bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
you looks like a kamina bekaar,Medium,BNS Section 352 (Intentional Insult)
that watched the email perfectly,Low,None
this guy hamesha rehta hai buddhu maha,Medium,BNS Section 352 (Intentional Insult)
woh hamesha behaves like ugly totally,Medium,BNS Section 352 (Intentional Insult)
my sister finished the bugs slowly,Low,None
they finished the level like a boss,Low,None
he hamesha rehta hai gawar hamesha,Medium,BNS Section 352 (Intentional Insult)
i killed that exam op bhai,Low,None
she hamesha behaves like ugly pathetic,Medium,BNS Section 352 (Intentional Insult)
teri behan is a fattu bekaar,Medium,BNS Section 352 (Intentional Insult)
that designed the pizza beautifully,Low,None
my friend noticed the exam beautifully,Low,None
address bhej rape karunga raste pe kasam se,High,BNS Section 351 (Criminal Intimidation)
iski sakal acts like a scammer sala,Medium,BNS Section 352 (Intentional Insult)
tum sab dikh raha hai loser bilkul,Medium,BNS Section 352 (Intentional Insult)
nobody destroyed the pizza tomorrow,Low,None
mere dost blast kar dunga tere dosto ko warna tera,High,BNS Section 351 (Criminal Intimidation)
the boss watched the project perfectly,Low,None
you ban raha hai fattu kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
the group enjoyed the assignment safely,Low,None
they noticed the homework slowly,Low,None
this found the song without issues,Low,None
yeh banda samajhta hai khud ko kutta sala,Medium,BNS Section 352 (Intentional Insult)
teri samajhta hai khud ko ugly bekaar,Medium,BNS Section 352 (Intentional Insult)
hum khatam kar dunga tere ghar walo ko zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
the player wrote the presentation slowly,Low,None
i smashed the project tonight,Low,None
bahar nikal jaan se maar dunga your sister beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
he hai ek fattu ghatiya,Medium,BNS Section 352 (Intentional Insult)
yeh banda looks like a bewakoof sabse bada,Medium,BNS Section 352 (Intentional Insult)
the boss heard the game safely,Low,None
i completed the presentation so hard,Low,None
our squad designed the bugs without issues,Low,None
you hamesha behaves like dhokebaaz sala,Medium,BNS Section 352 (Intentional Insult)
tujhe toh acid phek dunga tere ghar aake ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
yeh ladki is such a buddhu faltu,Medium,BNS Section 352 (Intentional Insult)
our squad fixed the assignment slowly,Low,None
they resolved the bugs yesterday,Low,None
tu is a bhikhari kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
woh lagta hai ugly totally,Medium,BNS Section 352 (Intentional Insult)
tujhe toh maar maar ke suja dunga tere ghar aake kal tak,High,BNS Section 351 (Criminal Intimidation)
nobody played the exam completely,Low,None
the group liked the movie flawlessly,Low,None
mera gang jaan se maar dunga office me samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
yeh ladka acts like a chor bilkul,Medium,BNS Section 352 (Intentional Insult)
teri hai ek kamina sala,Medium,BNS Section 352 (Intentional Insult)
mera bhai goli maar dunga tujhe warna tera,High,BNS Section 351 (Criminal Intimidation)
tera baap acts like a kutti disgusting,Medium,BNS Section 352 (Intentional Insult)
hum rape karunga tere dosto ko warna tera,High,BNS Section 351 (Criminal Intimidation)
tujhe main rape karunga you soch le,High,BNS Section 351 (Criminal Intimidation)
mera bhai gala daba dunga your sister samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
address bhej gala daba dunga bahar mil zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
i wrote the presentation quickly,Low,None
iski sakal is a fraud faltu,Medium,BNS Section 352 (Intentional Insult)
iski sakal hamesha behaves like kaminay kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
the boss built the task quickly,Low,None
my friend played the task like a boss,Low,None
the manager smashed the report very well,Low,None
woh ban raha hai fattu disgusting,Medium,BNS Section 352 (Intentional Insult)
the team smashed the code without issues,Low,None
mere dost maar maar ke suja dunga you ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
this guy dikh raha hai nalla pathetic,Medium,BNS Section 352 (Intentional Insult)
they designed the song flawlessly,Low,None
teri is such a fake kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
everyone destroyed the game yesterday,Low,None
teri ban raha hai kaminay bekaar,Medium,BNS Section 352 (Intentional Insult)
mera bhai jinda nahi chodunga tujhe bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
yeh banda ban raha hai pagal sala,Medium,BNS Section 352 (Intentional Insult)
mera bhai rape karunga raat ko samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
isko dekho looks like a nalayak ghatiya,Medium,BNS Section 352 (Intentional Insult)
tum log lagta hai pagal ekdum,Medium,BNS Section 352 (Intentional Insult)
the manager read the email very well,Low,None
apna time ayega toh jaan se maar dunga akela mil beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
he coded the exam flawlessly,Low,None
my friend destroyed the email with ease,Low,None
the player completed the assignment quickly,Low,None
teri maa hamesha rehta hai kaminay totally,Medium,BNS Section 352 (Intentional Insult)
hum murder kar dunga tere dosto ko chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
teri behan dikh raha hai kutta sala,Medium,BNS Section 352 (Intentional Insult)
this destroyed the exam tonight,Low,None
teri toh main zinda gaad dunga tere ghar aake kasam se,High,BNS Section 351 (Criminal Intimidation)
isko dekho lag raha hai chapri ekdum,Medium,BNS Section 352 (Intentional Insult)
isko dekho ban raha hai bhikhari sabse bada,Medium,BNS Section 352 (Intentional Insult)
the group noticed the song quickly,Low,None
the player noticed the movie smoothly,Low,None
tujhe toh rape karunga tere dosto ko bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
address bhej kat dunga raste pe aaj raat,High,BNS Section 351 (Criminal Intimidation)
that wrote the pizza tonight,Low,None
this smashed the level last week,Low,None
tujhe toh jinda nahi chodunga your sister chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
the boss built the project beautifully,Low,None
mera bhai blast kar dunga tujhe ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
this guy hai ek fattu ghatiya,Medium,BNS Section 352 (Intentional Insult)
everyone finished the boss fight so hard,Low,None
apna time ayega toh blast kar dunga tere dosto ko warna tera,High,BNS Section 351 (Criminal Intimidation)
she is a bhikhari harami,Medium,BNS Section 352 (Intentional Insult)
my sister saw the meeting today,Low,None
yeh banda samajhta hai khud ko fake kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
teri toh main murder kar dunga office me ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
nobody fixed the meeting beautifully,Low,None
mera gang khatam kar dunga your sister bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
someone loved the project slowly,Low,None
mera bhai blast kar dunga tere dosto ko ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
the group coded the movie like a boss,Low,None
the team finished the code quickly,Low,None
main blast kar dunga tere ghar walo ko ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
woh ban raha hai ugly harami,Medium,BNS Section 352 (Intentional Insult)
yeh banda hai ek loser kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
address bhej blast kar dunga you zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
iski sakal lag raha hai kutta hamesha,Medium,BNS Section 352 (Intentional Insult)
we read the task smoothly,Low,None
the manager watched the code perfectly,Low,None
the teacher finished the level very well,Low,None
this fixed the assignment today,Low,None
i found the movie with ease,Low,None
yeh ladki lagta hai fake harami,Medium,BNS Section 352 (Intentional Insult)
they smashed the meeting beautifully,Low,None
bahar nikal kat dunga college ke bahar bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
we are going to jinda nahi chodunga tujhe aaj raat,High,BNS Section 351 (Criminal Intimidation)
iska bhai acts like a gawar bekaar,Medium,BNS Section 352 (Intentional Insult)
the boss enjoyed the movie tomorrow,Low,None
bahar nikal khatam kar dunga college ke bahar ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
mera gang rape karunga akela mil beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
yeh banda is a chor totally,Medium,BNS Section 352 (Intentional Insult)
the teacher played the meeting yesterday,Low,None
we read the homework yesterday,Low,None
teri acts like a kaminay hamesha,Medium,BNS Section 352 (Intentional Insult)
hum log goli maar dunga tujhe last warning,High,BNS Section 351 (Criminal Intimidation)
hum jaan se maar dunga office me aaj raat,High,BNS Section 351 (Criminal Intimidation)
apna time ayega toh gala daba dunga raat ko beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
the teacher noticed the movie perfectly,Low,None
tujhe main kat dunga tere ghar walo ko zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
tujhe main rape karunga bahar mil chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
my friend heard the bugs so hard,Low,None
hum log maar maar ke suja dunga bahar mil dekh liyo,High,BNS Section 351 (Criminal Intimidation)
the group finished the bugs tomorrow,Low,None
she is such a kutti faltu,Medium,BNS Section 352 (Intentional Insult)
he created the code so hard,Low,None
my sister read the project slowly,Low,None
yeh ladki lag raha hai chor maha,Medium,BNS Section 352 (Intentional Insult)
teri hai ek chapri kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
tujhe toh hath pair tod dunga akela mil warna tera,High,BNS Section 351 (Criminal Intimidation)
tujhe toh kidnap kar lunga tere ghar aake beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
yeh ladka hamesha behaves like gadha totally,Medium,BNS Section 352 (Intentional Insult)
my sister read the email safely,Low,None
mera bhai hath pair tod dunga office me samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
i will jinda nahi chodunga your sister bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
tum log hamesha rehta hai gadha hamesha,Medium,BNS Section 352 (Intentional Insult)
the manager saw the pizza very well,Low,None
nobody built the project tonight,Low,None
teri toh main goli maar dunga tere dosto ko warna tera,High,BNS Section 351 (Criminal Intimidation)
mere dost will your sister chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
tujhe main rape karunga your sister soch le,High,BNS Section 351 (Criminal Intimidation)
hum log hath pair tod dunga college ke bahar warna tera,High,BNS Section 351 (Criminal Intimidation)
the teacher watched the game with ease,Low,None
this coded the song yesterday,Low,None
tum sab hamesha behaves like chutiya totally,Medium,BNS Section 352 (Intentional Insult)
he liked the exam yesterday,Low,None
iski sakal samajhta hai khud ko fraud kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
hum jaan se maar dunga raat ko aaj raat,High,BNS Section 351 (Criminal Intimidation)
this played the email slowly,Low,None
address bhej kidnap kar lunga raste pe soch le,High,BNS Section 351 (Criminal Intimidation)
she found the pizza last week,Low,None
tujhe toh blast kar dunga akela mil chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
apna time ayega toh will tujhe aaj raat,High,BNS Section 351 (Criminal Intimidation)
mere dost maar maar ke suja dunga raste pe bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
tum sab is a fraud ekdum,Medium,BNS Section 352 (Intentional Insult)
the manager resolved the task safely,Low,None
tu samajhta hai khud ko kamina faltu,Medium,BNS Section 352 (Intentional Insult)
someone destroyed the task so hard,Low,None
yeh ladka is a loser pathetic,Medium,BNS Section 352 (Intentional Insult)
the manager killed the task without issues,Low,None
mere dost will teri family ko ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
that coded the exam yesterday,Low,None
everyone watched the project today,Low,None
mere dost will raste pe beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
my sister found the pizza flawlessly,Low,None
everyone built the report beautifully,Low,None
tum sab lagta hai buddhu faltu,Medium,BNS Section 352 (Intentional Insult)
he ban raha hai kutti sala,Medium,BNS Section 352 (Intentional Insult)
iska bhai hai ek buddhu ghatiya,Medium,BNS Section 352 (Intentional Insult)
tujhe main rape karunga office me bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
the team watched the game without issues,Low,None
the manager read the meeting very well,Low,None
teri behan is such a chor harami,Medium,BNS Section 352 (Intentional Insult)
we destroyed the task tonight,Low,None
everyone coded the email slowly,Low,None
tujhe toh kat dunga college ke bahar dekh liyo,High,BNS Section 351 (Criminal Intimidation)
he hamesha rehta hai gadha sabse bada,Medium,BNS Section 352 (Intentional Insult)
my brother read the code without issues,Low,None
i will blast kar dunga tere ghar aake ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
you looks like a fake ghatiya,Medium,BNS Section 352 (Intentional Insult)
woh is such a pagal sabse bada,Medium,BNS Section 352 (Intentional Insult)
we are going to khatam kar dunga raste pe chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
teri behan lag raha hai fattu hamesha,Medium,BNS Section 352 (Intentional Insult)
this guy dikh raha hai gawar totally,Medium,BNS Section 352 (Intentional Insult)
we coded the meeting last week,Low,None
apna time ayega toh jaan se maar dunga tere ghar walo ko beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
main will tere ghar walo ko last warning,High,BNS Section 351 (Criminal Intimidation)
the team created the level very well,Low,None
he coded the pizza perfectly,Low,None
nobody destroyed the exam yesterday,Low,None
i saw the boss fight very well,Low,None
tum log hai ek ugly ekdum,Medium,BNS Section 352 (Intentional Insult)
tu hamesha rehta hai chapri kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
the teacher smashed the email smoothly,Low,None
hum log blast kar dunga teri family ko last warning,High,BNS Section 351 (Criminal Intimidation)
my friend watched the report perfectly,Low,None
the team resolved the bugs quickly,Low,None
yeh banda hamesha behaves like ugly totally,Medium,BNS Section 352 (Intentional Insult)
teri dikh raha hai scammer hamesha,Medium,BNS Section 352 (Intentional Insult)
that designed the project tonight,Low,None
hum log khatam kar dunga your sister soch le,High,BNS Section 351 (Criminal Intimidation)
mera bhai rape karunga you zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
the team designed the report like a boss,Low,None
our squad smashed the homework completely,Low,None
iska bhai acts like a kutti ghatiya,Medium,BNS Section 352 (Intentional Insult)
that resolved the code perfectly,Low,None
tum log lag raha hai bhikhari kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
yeh ladki hamesha behaves like gawar ekdum,Medium,BNS Section 352 (Intentional Insult)
the manager smashed the boss fight so hard,Low,None
my brother wrote the assignment very well,Low,None
the team saw the level without issues,Low,None
main jinda nahi chodunga tujhe zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
hum log kat dunga raste pe bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
the team built the homework without issues,Low,None
mera gang khatam kar dunga teri family ko samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
the manager designed the level very well,Low,None
tujhe main acid phek dunga raste pe aaj raat,High,BNS Section 351 (Criminal Intimidation)
tum log lagta hai fraud maha,Medium,BNS Section 352 (Intentional Insult)
this guy hamesha rehta hai fake harami,Medium,BNS Section 352 (Intentional Insult)
i will khatam kar dunga teri family ko kasam se,High,BNS Section 351 (Criminal Intimidation)
this guy lagta hai bewakoof pathetic,Medium,BNS Section 352 (Intentional Insult)
we are going to jinda nahi chodunga akela mil samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
tera baap looks like a kaminay sabse bada,Medium,BNS Section 352 (Intentional Insult)
that saw the exam perfectly,Low,None
tujhe toh kat dunga teri family ko last warning,High,BNS Section 351 (Criminal Intimidation)
yeh ladki hamesha rehta hai kutta harami,Medium,BNS Section 352 (Intentional Insult)
mera gang zinda gaad dunga bahar mil kasam se,High,BNS Section 351 (Criminal Intimidation)
mera bhai hath pair tod dunga tere ghar aake zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
he hamesha rehta hai chor totally,Medium,BNS Section 352 (Intentional Insult)
the manager killed the level smoothly,Low,None
yeh ladki is such a kamina bekaar,Medium,BNS Section 352 (Intentional Insult)
teri hamesha behaves like nalla sabse bada,Medium,BNS Section 352 (Intentional Insult)
mera gang kat dunga tere ghar aake last warning,High,BNS Section 351 (Criminal Intimidation)
she dikh raha hai kutta sala,Medium,BNS Section 352 (Intentional Insult)
my sister heard the task like a boss,Low,None
tu is a fraud hamesha,Medium,BNS Section 352 (Intentional Insult)
tum sab hai ek nalla disgusting,Medium,BNS Section 352 (Intentional Insult)
hum goli maar dunga your sister last warning,High,BNS Section 351 (Criminal Intimidation)
this designed the task tonight,Low,None
the manager watched the boss fight tomorrow,Low,None
the boss resolved the bugs so hard,Low,None
hum kidnap kar lunga office me samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
he designed the task tonight,Low,None
tujhe toh khatam kar dunga you soch le,High,BNS Section 351 (Criminal Intimidation)
address bhej blast kar dunga you aaj raat,High,BNS Section 351 (Criminal Intimidation)
tu hamesha rehta hai bewakoof hamesha,Medium,BNS Section 352 (Intentional Insult)
teri lag raha hai gawar kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
someone killed the boss fight flawlessly,Low,None
yeh ladka is such a pagal sala,Medium,BNS Section 352 (Intentional Insult)
that saw the song tomorrow,Low,None
tum sab looks like a kutta kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
woh ban raha hai fake kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
teri maa hamesha behaves like bewakoof harami,Medium,BNS Section 352 (Intentional Insult)
our squad wrote the presentation slowly,Low,None
teri toh main murder kar dunga tere dosto ko kasam se,High,BNS Section 351 (Criminal Intimidation)
the group resolved the boss fight tomorrow,Low,None
the player found the movie like a boss,Low,None
my brother finished the homework completely,Low,None
i will will raat ko kal tak,High,BNS Section 351 (Criminal Intimidation)
my brother found the boss fight like a boss,Low,None
she watched the level like a boss,Low,None
that wrote the boss fight smoothly,Low,None
yeh banda ban raha hai ugly hamesha,Medium,BNS Section 352 (Intentional Insult)
everyone built the task with ease,Low,None
this guy acts like a scammer sala,Medium,BNS Section 352 (Intentional Insult)
yeh ladka acts like a kamina faltu,Medium,BNS Section 352 (Intentional Insult)
we are going to murder kar dunga tere ghar aake dekh liyo,High,BNS Section 351 (Criminal Intimidation)
that loved the homework beautifully,Low,None
teri toh main kat dunga bahar mil soch le,High,BNS Section 351 (Criminal Intimidation)
he coded the presentation tomorrow,Low,None
the manager finished the code quickly,Low,None
my friend smashed the pizza like a boss,Low,None
everyone coded the level tonight,Low,None
teri maa lag raha hai kutti ghatiya,Medium,BNS Section 352 (Intentional Insult)
iski sakal is a kutta bilkul,Medium,BNS Section 352 (Intentional Insult)
bahar nikal gala daba dunga tere ghar aake ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
nobody found the task flawlessly,Low,None
tujhe main gala daba dunga office me dekh liyo,High,BNS Section 351 (Criminal Intimidation)
nobody completed the level with ease,Low,None
you is such a chapri totally,Medium,BNS Section 352 (Intentional Insult)
my brother destroyed the game quickly,Low,None
teri behan is such a bhikhari maha,Medium,BNS Section 352 (Intentional Insult)
teri lag raha hai dhokebaaz ghatiya,Medium,BNS Section 352 (Intentional Insult)
teri ban raha hai nalla kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
that noticed the pizza yesterday,Low,None
the player watched the email very well,Low,None
iski sakal hai ek ugly sala,Medium,BNS Section 352 (Intentional Insult)
we are going to murder kar dunga raste pe dekh liyo,High,BNS Section 351 (Criminal Intimidation)
our squad enjoyed the report without issues,Low,None
teri toh main maar maar ke suja dunga tujhe kasam se,High,BNS Section 351 (Criminal Intimidation)
bahar nikal zinda gaad dunga teri family ko chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
you lagta hai chutiya kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
he saw the level safely,Low,None
she coded the pizza last week,Low,None
hum log kat dunga your sister bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
iski sakal ban raha hai fattu bekaar,Medium,BNS Section 352 (Intentional Insult)
tujhe main murder kar dunga tujhe kasam se,High,BNS Section 351 (Criminal Intimidation)
tujhe toh will tere ghar aake kal tak,High,BNS Section 351 (Criminal Intimidation)
